,Tacoma-S 36th St,Mt Rainier-Jackson Visitors Ctr,Tacoma-L Street,Tacoma-S Adams St,Neah Bay 2-Makah Tribe,
Date/Time,PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],
"7/1/2024, 12:00:00 AM",,1.4,1,,2.4,
"7/1/2024, 1:00:00 AM",,1.4,2,,2.9,
"7/1/2024, 2:00:00 AM",,2.4,1,,2.8,
"7/1/2024, 3:00:00 AM",,2.8,1,,2.4,
"7/1/2024, 4:00:00 AM",,2,3,,2.3,
"7/1/2024, 5:00:00 AM",,2.2,3,,2.2,
"7/1/2024, 6:00:00 AM",,1.6,2,,2.2,
"7/1/2024, 7:00:00 AM",,1.6,3,,2.3,
"7/1/2024, 8:00:00 AM",,1.4,0,,2.3,
"7/1/2024, 9:00:00 AM",,2.1,-2,,2.3,
"7/1/2024, 10:00:00 AM",,1.7,-2,,2.3,
"7/1/2024, 11:00:00 AM",,2.1,-3,,2.3,
"7/1/2024, 12:00:00 PM",,1.4,-3,,2.4,
"7/1/2024, 1:00:00 PM",,1.8,-3,,2.5,
"7/1/2024, 2:00:00 PM",,1.7,-2,,2.7,
"7/1/2024, 3:00:00 PM",,1.3,-1,,2.9,
"7/1/2024, 4:00:00 PM",,1.2,0,,2.8,
"7/1/2024, 5:00:00 PM",,1.3,0,,2.9,
"7/1/2024, 6:00:00 PM",,1.5,-1,,3.1,
"7/1/2024, 7:00:00 PM",,1.8,-1,,3.3,
"7/1/2024, 8:00:00 PM",,3,1,,3.7,
"7/1/2024, 9:00:00 PM",,6.1,3,,4.2,
"7/1/2024, 10:00:00 PM",,,2,,3.9,
"7/1/2024, 11:00:00 PM",,2.6,4,,3.4,
"7/2/2024, 12:00:00 AM",,3.5,5,,2.9,
"7/2/2024, 1:00:00 AM",,3.3,4,,2.4,
"7/2/2024, 2:00:00 AM",,2.8,6,,2.5,
"7/2/2024, 3:00:00 AM",,2.4,5,,2.7,
"7/2/2024, 4:00:00 AM",,2.4,3,,2.9,
"7/2/2024, 5:00:00 AM",,1.8,3,,3,
"7/2/2024, 6:00:00 AM",,1.7,4,,2.9,
"7/2/2024, 7:00:00 AM",,1.5,3,,2.9,
"7/2/2024, 8:00:00 AM",,1.9,2,,2.8,
"7/2/2024, 9:00:00 AM",,2.1,4,,2.9,
"7/2/2024, 10:00:00 AM",,2.4,3,,2.9,
"7/2/2024, 11:00:00 AM",,3.1,5,,2.9,
"7/2/2024, 12:00:00 PM",,2.8,4,,2.6,
"7/2/2024, 1:00:00 PM",,2.8,1,,2.4,
"7/2/2024, 2:00:00 PM",,2.7,1,,2.3,
"7/2/2024, 3:00:00 PM",,2.9,0,,2.3,
"7/2/2024, 4:00:00 PM",,2.9,-1,,2.4,
"7/2/2024, 5:00:00 PM",,3.1,3,,2.8,
"7/2/2024, 6:00:00 PM",,3.1,3,,2.9,
"7/2/2024, 7:00:00 PM",,3.8,3,,3,
"7/2/2024, 8:00:00 PM",,7.3,2,,3.4,
"7/2/2024, 9:00:00 PM",,6.6,4,,5.2,
"7/2/2024, 10:00:00 PM",,3.9,4,,3.1,
"7/2/2024, 11:00:00 PM",,4.1,5,,2.8,
"7/3/2024, 12:00:00 AM",,4.2,8,,2.6,
"7/3/2024, 1:00:00 AM",,2,5,,2.3,
"7/3/2024, 2:00:00 AM",,3.1,1,,2.1,
"7/3/2024, 3:00:00 AM",,3.5,2,,2.5,
"7/3/2024, 4:00:00 AM",,3.1,1,,2.4,
"7/3/2024, 5:00:00 AM",,3.1,1,,2.3,
"7/3/2024, 6:00:00 AM",,2.7,6,,1.9,
"7/3/2024, 7:00:00 AM",,2.3,4,,1.7,
"7/3/2024, 8:00:00 AM",,2.2,2,,1.9,
"7/3/2024, 9:00:00 AM",,2.2,4,,2.3,
"7/3/2024, 10:00:00 AM",,2.2,3,,2.4,
"7/3/2024, 11:00:00 AM",,2.2,1,,2.5,
"7/3/2024, 12:00:00 PM",,2,3,,2.7,
"7/3/2024, 1:00:00 PM",,2,5,,3,
"7/3/2024, 2:00:00 PM",,2.5,5,,3.2,
"7/3/2024, 3:00:00 PM",,2.6,5,,3.5,
"7/3/2024, 4:00:00 PM",,3,6,,3.2,
"7/3/2024, 5:00:00 PM",,3.1,4,,2.8,
