,Tacoma-S 36th St,Mt Rainier-Jackson Visitors Ctr,Tacoma-L Street,Tacoma-S Adams St,Neah Bay 2-Makah Tribe,
Date/Time,PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],
"7/1/2022, 12:00:00 AM",,,4,,3.5,
"7/1/2022, 1:00:00 AM",,,3,,3.2,
"7/1/2022, 2:00:00 AM",,,3,,3.1,
"7/1/2022, 3:00:00 AM",,,5,,3.1,
"7/1/2022, 4:00:00 AM",,,5,,2.9,
"7/1/2022, 5:00:00 AM",,,5,,2.8,
"7/1/2022, 6:00:00 AM",,,6,,2.8,
"7/1/2022, 7:00:00 AM",,,5,,2.9,
"7/1/2022, 8:00:00 AM",,,6,,2.8,
"7/1/2022, 9:00:00 AM",,,6,,2.8,
"7/1/2022, 10:00:00 AM",,,4,,2.9,
"7/1/2022, 11:00:00 AM",,,3,,2.8,
"7/1/2022, 12:00:00 PM",,,3,,2.3,
"7/1/2022, 1:00:00 PM",,,3,,2.3,
"7/1/2022, 2:00:00 PM",,,1,,2.3,
"7/1/2022, 3:00:00 PM",,,-1,,2.6,
"7/1/2022, 4:00:00 PM",,,0,,3.2,
"7/1/2022, 5:00:00 PM",,,1,,4.5,
"7/1/2022, 6:00:00 PM",,,3,,4.9,
"7/1/2022, 7:00:00 PM",,,5,,3.9,
"7/1/2022, 8:00:00 PM",,,4,,3.2,
"7/1/2022, 9:00:00 PM",,,2,,3.1,
"7/1/2022, 10:00:00 PM",,,5,,4,
"7/1/2022, 11:00:00 PM",,,6,,4.3,
"7/2/2022, 12:00:00 AM",,,4,,5,
"7/2/2022, 1:00:00 AM",,,4,,3.8,
"7/2/2022, 2:00:00 AM",,,3,,3.6,
"7/2/2022, 3:00:00 AM",,,3,,3.1,
"7/2/2022, 4:00:00 AM",,,4,,2.9,
"7/2/2022, 5:00:00 AM",,,2,,3.3,
"7/2/2022, 6:00:00 AM",,,2,,3.2,
"7/2/2022, 7:00:00 AM",,,6,,3.2,
"7/2/2022, 8:00:00 AM",,,5,,3.1,
"7/2/2022, 9:00:00 AM",,,4,,3,
"7/2/2022, 10:00:00 AM",,,7,,3,
"7/2/2022, 11:00:00 AM",,,7,,3.2,
"7/2/2022, 12:00:00 PM",,,5,,3.3,
"7/2/2022, 1:00:00 PM",,,2,,3.5,
"7/2/2022, 2:00:00 PM",,,2,,4.1,
"7/2/2022, 3:00:00 PM",,,2,,5.5,
"7/2/2022, 4:00:00 PM",,,6,,4.7,
"7/2/2022, 5:00:00 PM",,,4,,4.3,
"7/2/2022, 6:00:00 PM",,,6,,4.9,
"7/2/2022, 7:00:00 PM",,,6,,5,
"7/2/2022, 8:00:00 PM",,,5,,5,
"7/2/2022, 9:00:00 PM",,,4,,4.8,
"7/2/2022, 10:00:00 PM",,,4,,4.9,
"7/2/2022, 11:00:00 PM",,,4,,4.7,
"7/3/2022, 12:00:00 AM",,,4,,5,
"7/3/2022, 1:00:00 AM",,,5,,4.9,
"7/3/2022, 2:00:00 AM",,,4,,4.8,
"7/3/2022, 3:00:00 AM",,,4,,4.7,
"7/3/2022, 4:00:00 AM",,,4,,4.6,
"7/3/2022, 5:00:00 AM",,,6,,4.4,
"7/3/2022, 6:00:00 AM",,,6,,4.8,
"7/3/2022, 7:00:00 AM",,,4,,4.7,
"7/3/2022, 8:00:00 AM",,,3,,4.4,
"7/3/2022, 9:00:00 AM",,,2,,3.8,
"7/3/2022, 10:00:00 AM",,,1,,3.6,
"7/3/2022, 11:00:00 AM",,,5,,3.6,
"7/3/2022, 12:00:00 PM",,,6,,2.7,
"7/3/2022, 1:00:00 PM",,,5,,2.5,
"7/3/2022, 2:00:00 PM",,,2,,2.3,
"7/3/2022, 3:00:00 PM",,,0,,2.6,
"7/3/2022, 4:00:00 PM",,,1,,2.3,
"7/3/2022, 5:00:00 PM",,,3,,2.8,
"7/3/2022, 6:00:00 PM",,,4,,2.5,
"7/3/2022, 7:00:00 PM",,,2,,1.9,
"7/3/2022, 8:00:00 PM",,,4,,3.4,
"7/3/2022, 9:00:00 PM",,,19,,4,
"7/3/2022, 10:00:00 PM",,,24,,5.1,
"7/3/2022, 11:00:00 PM",,,39,,3.8,
"7/4/2022, 12:00:00 AM",,,37,,2.8,
"7/4/2022, 1:00:00 AM",,,29,,2.8,
"7/4/2022, 2:00:00 AM",,,17,,1.6,
"7/4/2022, 3:00:00 AM",,,11,,1.5,
"7/4/2022, 4:00:00 AM",,,9,,1.7,
"7/4/2022, 5:00:00 AM",,,10,,1.9,
"7/4/2022, 6:00:00 AM",,,6,,1.8,
"7/4/2022, 7:00:00 AM",,,0,,1.7,
"7/4/2022, 8:00:00 AM",,,0,,2,
"7/4/2022, 9:00:00 AM",,,0,,2.1,
"7/4/2022, 10:00:00 AM",,,0,,2.1,
"7/4/2022, 11:00:00 AM",,,0,,2.1,
"7/4/2022, 12:00:00 PM",,,-1,,2.4,
"7/4/2022, 1:00:00 PM",,,1,,2.7,
"7/4/2022, 2:00:00 PM",,,3,,2.3,
"7/4/2022, 3:00:00 PM",,,1,,2.8,
"7/4/2022, 4:00:00 PM",,,0,,3.1,
"7/4/2022, 5:00:00 PM",,,1,,3.8,
"7/4/2022, 6:00:00 PM",,,6,,4,
"7/4/2022, 7:00:00 PM",,,7,,3.1,
"7/4/2022, 8:00:00 PM",,,34,,4.7,
"7/4/2022, 9:00:00 PM",,,43,,15.3,
"7/4/2022, 10:00:00 PM",,,23,,16,
"7/4/2022, 11:00:00 PM",,,18,,5.5,
"7/5/2022, 12:00:00 AM",,,15,,5.3,
"7/5/2022, 1:00:00 AM",,,17,,3.9,
"7/5/2022, 2:00:00 AM",,,21,,3.2,
"7/5/2022, 3:00:00 AM",,,22,,2.9,
"7/5/2022, 4:00:00 AM",,,22,,2.6,
"7/5/2022, 5:00:00 AM",,,23,,2.5,
"7/5/2022, 6:00:00 AM",,,18,,2.7,
"7/5/2022, 7:00:00 AM",,,21,,3,
"7/5/2022, 8:00:00 AM",,,17,,3.2,
"7/5/2022, 9:00:00 AM",,,14,,3,
"7/5/2022, 10:00:00 AM",,,10,,2.8,
"7/5/2022, 11:00:00 AM",,,5,,3.3,
"7/5/2022, 12:00:00 PM",,,,,3.2,
"7/5/2022, 1:00:00 PM",,,6,,3,
"7/5/2022, 2:00:00 PM",,,4,,2.9,
"7/5/2022, 3:00:00 PM",,,5,,2.9,
"7/5/2022, 4:00:00 PM",,,5,,2.3,
"7/5/2022, 5:00:00 PM",,,8,,2.3,
"7/5/2022, 6:00:00 PM",,,7,,2.3,
"7/5/2022, 7:00:00 PM",,,7,,2.4,
"7/5/2022, 8:00:00 PM",,,9,,2.4,
"7/5/2022, 9:00:00 PM",,,6,,2.7,
"7/5/2022, 10:00:00 PM",,,10,,2.3,
"7/5/2022, 11:00:00 PM",,,12,,1.9,
"7/6/2022, 12:00:00 AM",,,11,,2.4,
"7/6/2022, 1:00:00 AM",,,7,,2.4,
"7/6/2022, 2:00:00 AM",,,6,,2.6,
"7/6/2022, 3:00:00 AM",,,7,,2.8,
"7/6/2022, 4:00:00 AM",,,7,,2.8,
"7/6/2022, 5:00:00 AM",,,6,,3,
"7/6/2022, 6:00:00 AM",,,7,,3.3,
"7/6/2022, 7:00:00 AM",,,6,,2.8,
"7/6/2022, 8:00:00 AM",,,5,,2.8,
"7/6/2022, 9:00:00 AM",,,7,,3.1,
"7/6/2022, 10:00:00 AM",,,7,,3.3,
"7/6/2022, 11:00:00 AM",,,6,,2.9,
"7/6/2022, 12:00:00 PM",,,3,,2.9,
"7/6/2022, 1:00:00 PM",,,1,,4.1,
"7/6/2022, 2:00:00 PM",,,0,,3.4,
"7/6/2022, 3:00:00 PM",,,1,,3.3,
"7/6/2022, 4:00:00 PM",,,2,,2.8,
"7/6/2022, 5:00:00 PM",,,1,,2.9,
"7/6/2022, 6:00:00 PM",,,-1,,2.8,
"7/6/2022, 7:00:00 PM",,,1,,3.1,
"7/6/2022, 8:00:00 PM",,,3,,3.4,
"7/6/2022, 9:00:00 PM",,,1,,3.9,
"7/6/2022, 10:00:00 PM",,,-1,,4,
"7/6/2022, 11:00:00 PM",,,0,,3.8,
"7/7/2022, 12:00:00 AM",,,0,,3.7,
"7/7/2022, 1:00:00 AM",,,1,,3.6,
"7/7/2022, 2:00:00 AM",,,2,,3.5,
"7/7/2022, 3:00:00 AM",,,1,,3.4,
"7/7/2022, 4:00:00 AM",,,2,,4,
"7/7/2022, 5:00:00 AM",,,2,,3.7,
"7/7/2022, 6:00:00 AM",,,3,,3.4,
"7/7/2022, 7:00:00 AM",,,1,,3.5,
"7/7/2022, 8:00:00 AM",,,-2,,3.9,
"7/7/2022, 9:00:00 AM",,,-1,,3.6,
"7/7/2022, 10:00:00 AM",,,-3,,3.6,
"7/7/2022, 11:00:00 AM",,,-2,,3.5,
"7/7/2022, 12:00:00 PM",,,2,,3.6,
"7/7/2022, 1:00:00 PM",,,-1,,3.4,
"7/7/2022, 2:00:00 PM",,,-3,,2.8,
"7/7/2022, 3:00:00 PM",,,0,,2.8,
"7/7/2022, 4:00:00 PM",,,2,,2.8,
"7/7/2022, 5:00:00 PM",,,1,,2.8,
"7/7/2022, 6:00:00 PM",,,2,,2.9,
"7/7/2022, 7:00:00 PM",,,1,,2.9,
"7/7/2022, 8:00:00 PM",,,-1,,2.9,
"7/7/2022, 9:00:00 PM",,,-1,,3,
"7/7/2022, 10:00:00 PM",,,-1,,3,
