,Tacoma-S 36th St,Mt Rainier-Jackson Visitors Ctr,Tacoma-L Street,Tacoma-S Adams St,Neah Bay 2-Makah Tribe,
Date/Time,PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],
"7/1/2025, 12:00:00 AM",,,8,,,
"7/1/2025, 1:00:00 AM",,,4,,,
"7/1/2025, 2:00:00 AM",,,6,,,
"7/1/2025, 3:00:00 AM",,3,9,,,
"7/1/2025, 4:00:00 AM",,2.5,8,,,
"7/1/2025, 5:00:00 AM",,1.8,10,,,
"7/1/2025, 6:00:00 AM",,2.2,5,,,
"7/1/2025, 7:00:00 AM",,1.9,4,,,
"7/1/2025, 8:00:00 AM",,2.3,4,,,
"7/1/2025, 9:00:00 AM",,2.2,4,,,
"7/1/2025, 10:00:00 AM",,1.8,5,,,
"7/1/2025, 11:00:00 AM",,2.4,4,,1.3,
"7/1/2025, 12:00:00 PM",,2.7,5,,1.5,
"7/1/2025, 1:00:00 PM",,2.9,6,,1.5,
"7/1/2025, 2:00:00 PM",,3.1,4,,1.6,
"7/1/2025, 3:00:00 PM",,3.4,4,,1.6,
"7/1/2025, 4:00:00 PM",,3.7,4,,1.6,
"7/1/2025, 5:00:00 PM",,3.3,2,,1.7,
"7/1/2025, 6:00:00 PM",,3.2,0,,1.7,
"7/1/2025, 7:00:00 PM",,3.3,2,,1.5,
"7/1/2025, 8:00:00 PM",,3.6,3,,1.4,
"7/1/2025, 9:00:00 PM",,3.6,2,,1.9,
"7/1/2025, 10:00:00 PM",,3.6,2,,1.3,
"7/1/2025, 11:00:00 PM",,3.6,1,,1.3,
"7/2/2025, 12:00:00 AM",,3.6,2,,1.4,
"7/2/2025, 1:00:00 AM",,3.8,5,,1.5,
"7/2/2025, 2:00:00 AM",,4.3,2,,1.6,
"7/2/2025, 3:00:00 AM",,4.2,0,,1.6,
"7/2/2025, 4:00:00 AM",,4.1,5,,1.6,
"7/2/2025, 5:00:00 AM",,4.7,4,,1.6,
"7/2/2025, 6:00:00 AM",,6.9,2,,1.7,
"7/2/2025, 7:00:00 AM",,4.9,4,,1.6,
"7/2/2025, 8:00:00 AM",,6.1,2,,1.6,
"7/2/2025, 9:00:00 AM",,8.3,3,,1.6,
"7/2/2025, 10:00:00 AM",,8.8,2,,1.6,
"7/2/2025, 11:00:00 AM",,3.9,2,,1.6,
"7/2/2025, 12:00:00 PM",,3,3,,1.6,
"7/2/2025, 1:00:00 PM",,2.8,1,,1.5,
"7/2/2025, 2:00:00 PM",,3,-1,,1.5,
"7/2/2025, 3:00:00 PM",,2.4,-2,,1.4,
"7/2/2025, 4:00:00 PM",,2.8,1,,1.4,
"7/2/2025, 5:00:00 PM",,4.3,0,,1.5,
"7/2/2025, 6:00:00 PM",,4.3,0,,1.5,
"7/2/2025, 7:00:00 PM",,3.4,1,,1.6,
"7/2/2025, 8:00:00 PM",,5.2,2,,1.5,
"7/2/2025, 9:00:00 PM",,6.4,2,,2,
"7/2/2025, 10:00:00 PM",,4.6,1,,1.6,
"7/2/2025, 11:00:00 PM",,5.2,0,,1.4,
"7/3/2025, 12:00:00 AM",,5.3,1,,1.4,
"7/3/2025, 1:00:00 AM",,4.9,2,,1.4,
"7/3/2025, 2:00:00 AM",,4.4,2,,1.3,
"7/3/2025, 3:00:00 AM",,3.6,2,,1.3,
"7/3/2025, 4:00:00 AM",,2.4,2,,1.2,
"7/3/2025, 5:00:00 AM",,1.7,2,,1.2,
"7/3/2025, 6:00:00 AM",,1.2,2,,1.2,
"7/3/2025, 7:00:00 AM",,1.1,1,,1.2,
"7/3/2025, 8:00:00 AM",,1,1,,1.3,
"7/3/2025, 9:00:00 AM",,1,1,,1.4,
"7/3/2025, 10:00:00 AM",,0.9,1,,2.4,
"7/3/2025, 11:00:00 AM",,1.1,2,,1.7,
"7/3/2025, 12:00:00 PM",,1.3,2,,1.6,
"7/3/2025, 1:00:00 PM",,1.6,4,,1.8,
"7/3/2025, 2:00:00 PM",,2,3,,1.6,
"7/3/2025, 3:00:00 PM",,2,2,,1.8,
"7/3/2025, 4:00:00 PM",,2.1,2,,1.7,
"7/3/2025, 5:00:00 PM",,2.3,1,,1.5,
"7/3/2025, 6:00:00 PM",,2.9,5,,2,
"7/3/2025, 7:00:00 PM",,3.4,5,,1.7,
"7/3/2025, 8:00:00 PM",,3.6,3,,1.6,
"7/3/2025, 9:00:00 PM",,3.2,5,,1.7,
"7/3/2025, 10:00:00 PM",,3.2,4,,1.6,
"7/3/2025, 11:00:00 PM",,3.2,3,,1.7,
"7/4/2025, 12:00:00 AM",,3,4,,1.4,
"7/4/2025, 1:00:00 AM",,3.2,4,,1.4,
"7/4/2025, 2:00:00 AM",,3.2,3,,1.3,
"7/4/2025, 3:00:00 AM",,3.1,8,,1.4,
"7/4/2025, 4:00:00 AM",,2.7,6,,1.4,
"7/4/2025, 5:00:00 AM",,2.9,5,,1.4,
"7/4/2025, 6:00:00 AM",,3.4,4,,1.6,
"7/4/2025, 7:00:00 AM",,3.5,3,,1.7,
"7/4/2025, 8:00:00 AM",,3.8,4,,1.7,
"7/4/2025, 9:00:00 AM",,3.7,3,,1.9,
"7/4/2025, 10:00:00 AM",,3.6,3,,2.1,
"7/4/2025, 11:00:00 AM",,3.5,3,,2.3,
"7/4/2025, 12:00:00 PM",,3.4,1,,2.3,
"7/4/2025, 1:00:00 PM",,2.9,1,,2.3,
"7/4/2025, 2:00:00 PM",,3,2,,2.3,
"7/4/2025, 3:00:00 PM",,3.1,3,,2.1,
"7/4/2025, 4:00:00 PM",,3,3,,2.1,
"7/4/2025, 5:00:00 PM",,3.1,1,,1.9,
"7/4/2025, 6:00:00 PM",,3.4,1,,2.5,
"7/4/2025, 7:00:00 PM",,5.6,2,,2,
"7/4/2025, 8:00:00 PM",,15.3,8,,7.3,
"7/4/2025, 9:00:00 PM",,11.6,69,,4.7,
"7/4/2025, 10:00:00 PM",,8.3,50,,3.5,
"7/4/2025, 11:00:00 PM",,7.9,65,,2.1,
"7/5/2025, 12:00:00 AM",,5.1,16,,2,
"7/5/2025, 1:00:00 AM",,2.1,8,,1.7,
"7/5/2025, 2:00:00 AM",,1.5,6,,1.7,
"7/5/2025, 3:00:00 AM",,2.6,8,,1.7,
"7/5/2025, 4:00:00 AM",,2,5,,1.8,
"7/5/2025, 5:00:00 AM",,2.8,1,,1.7,
"7/5/2025, 6:00:00 AM",,4,0,,1.6,
"7/5/2025, 7:00:00 AM",,3.9,2,,1.7,
"7/5/2025, 8:00:00 AM",,5,3,,1.8,
"7/5/2025, 9:00:00 AM",,4.2,3,,1.9,
"7/5/2025, 10:00:00 AM",,4.2,3,,2.2,
"7/5/2025, 11:00:00 AM",,4,1,,2.2,
"7/5/2025, 12:00:00 PM",,4.1,-1,,2.1,
"7/5/2025, 1:00:00 PM",,3.9,0,,2.1,
"7/5/2025, 2:00:00 PM",,3.9,1,,2.3,
"7/5/2025, 3:00:00 PM",,3.2,1,,2.2,
"7/5/2025, 4:00:00 PM",,2.9,1,,2.3,
"7/5/2025, 5:00:00 PM",,2.9,3,,2.4,
"7/5/2025, 6:00:00 PM",,3,4,,2.7,
"7/5/2025, 7:00:00 PM",,3.4,4,,4.4,
"7/5/2025, 8:00:00 PM",,3.8,8,,4.3,
"7/5/2025, 9:00:00 PM",,3.5,10,,2.7,
"7/5/2025, 10:00:00 PM",,3.6,8,,2.2,
"7/5/2025, 11:00:00 PM",,4.4,6,,2.3,
"7/6/2025, 12:00:00 AM",,3.9,6,,2.7,
"7/6/2025, 1:00:00 AM",,3.5,5,,2.9,
"7/6/2025, 2:00:00 AM",,3.6,4,,2.8,
"7/6/2025, 3:00:00 AM",,3.4,3,,2.8,
"7/6/2025, 4:00:00 AM",,2.9,3,,2.9,
"7/6/2025, 5:00:00 AM",,2.8,4,,2.9,
"7/6/2025, 6:00:00 AM",,2.7,2,,2.9,
"7/6/2025, 7:00:00 AM",,2.5,0,,2.9,
"7/6/2025, 8:00:00 AM",,2.7,1,,3,
"7/6/2025, 9:00:00 AM",,2.7,-1,,3.1,
"7/6/2025, 10:00:00 AM",,2.8,-1,,3,
"7/6/2025, 11:00:00 AM",,2.8,-1,,3.4,
"7/6/2025, 12:00:00 PM",,2.5,2,,3.5,
"7/6/2025, 1:00:00 PM",,2.2,1,,2.9,
"7/6/2025, 2:00:00 PM",,2,0,,3.3,
"7/6/2025, 3:00:00 PM",,2,0,,3.4,
"7/6/2025, 4:00:00 PM",,2.2,-2,,3.3,
"7/6/2025, 5:00:00 PM",,2.5,0,,3.1,
"7/6/2025, 6:00:00 PM",,2.7,0,,2.9,
"7/6/2025, 7:00:00 PM",,2.7,1,,3.1,
"7/6/2025, 8:00:00 PM",,2.8,3,,2.4,
"7/6/2025, 9:00:00 PM",,2.8,7,,2.4,
"7/6/2025, 10:00:00 PM",,2.8,6,,2.4,
"7/6/2025, 11:00:00 PM",,2.6,5,,2.3,
"7/7/2025, 12:00:00 AM",,2.5,4,,2.4,
"7/7/2025, 1:00:00 AM",,2.2,6,,2.4,
"7/7/2025, 2:00:00 AM",,2.3,4,,2.5,
"7/7/2025, 3:00:00 AM",,2.3,2,,2.5,
"7/7/2025, 4:00:00 AM",,2.2,3,,2.5,
"7/7/2025, 5:00:00 AM",,2.3,2,,2.6,
"7/7/2025, 6:00:00 AM",,2.4,1,,2.5,
"7/7/2025, 7:00:00 AM",,2.4,0,,2.2,
"7/7/2025, 8:00:00 AM",,2.3,0,,2.3,
"7/7/2025, 9:00:00 AM",,2.2,1,,2.4,
"7/7/2025, 10:00:00 AM",,2,1,,2.6,
"7/7/2025, 11:00:00 AM",,2.1,3,,2.6,
"7/7/2025, 12:00:00 PM",,2,1,,2.9,
"7/7/2025, 1:00:00 PM",,2.1,-1,,3.6,
"7/7/2025, 2:00:00 PM",,2.2,0,,3.6,
"7/7/2025, 3:00:00 PM",,2.3,-2,,3.5,
"7/7/2025, 4:00:00 PM",,2.5,-4,,3.5,
"7/7/2025, 5:00:00 PM",,2.6,-1,,3.1,
"7/7/2025, 6:00:00 PM",,2.8,1,,2.7,
