,Tacoma-S 36th St,Mt Rainier-Jackson Visitors Ctr,Tacoma-L Street,Tacoma-S Adams St,Neah Bay 2-Makah Tribe,
Date/Time,PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],
"7/1/2018, 12:00:00 AM",,,0,,2.1,
"7/1/2018, 1:00:00 AM",,,0,,1.6,
"7/1/2018, 2:00:00 AM",,,0,,1.4,
"7/1/2018, 3:00:00 AM",,,-1,,1.2,
"7/1/2018, 4:00:00 AM",,,-1,,1.2,
"7/1/2018, 5:00:00 AM",,,1,,1.1,
"7/1/2018, 6:00:00 AM",,,1,,1.7,
"7/1/2018, 7:00:00 AM",,,0,,1.8,
"7/1/2018, 8:00:00 AM",,,-2,,1.9,
"7/1/2018, 9:00:00 AM",,,-2,,2,
"7/1/2018, 10:00:00 AM",,,0,,2.1,
"7/1/2018, 11:00:00 AM",,,5,,1.8,
"7/1/2018, 12:00:00 PM",,,1,,1.6,
"7/1/2018, 1:00:00 PM",,,-1,,1.6,
"7/1/2018, 2:00:00 PM",,,-1,,1.7,
"7/1/2018, 3:00:00 PM",,,-4,,1.4,
"7/1/2018, 4:00:00 PM",,,-2,,1.6,
"7/1/2018, 5:00:00 PM",,,1,,1.6,
"7/1/2018, 6:00:00 PM",,,2,,1.7,
"7/1/2018, 7:00:00 PM",,,1,,1.8,
"7/1/2018, 8:00:00 PM",,,0,,1.8,
"7/1/2018, 9:00:00 PM",,,2,,2,
"7/1/2018, 10:00:00 PM",,,3,,1.9,
"7/1/2018, 11:00:00 PM",,,3,,2,
"7/2/2018, 12:00:00 AM",,,3,,2.2,
"7/2/2018, 1:00:00 AM",,,3,,2.2,
"7/2/2018, 2:00:00 AM",,,2,,2.2,
"7/2/2018, 3:00:00 AM",,,4,,2.1,
"7/2/2018, 4:00:00 AM",,,2,,2,
"7/2/2018, 5:00:00 AM",,,4,,2.3,
"7/2/2018, 6:00:00 AM",,,4,,2.3,
"7/2/2018, 7:00:00 AM",,,2,,2.3,
"7/2/2018, 8:00:00 AM",,,0,,2.2,
"7/2/2018, 9:00:00 AM",,,0,,2.2,
"7/2/2018, 10:00:00 AM",,,0,,1.9,
"7/2/2018, 11:00:00 AM",,,0,,2.3,
"7/2/2018, 12:00:00 PM",,,1,,2.6,
"7/2/2018, 1:00:00 PM",,,1,,2.8,
"7/2/2018, 2:00:00 PM",,,2,,3,
"7/2/2018, 3:00:00 PM",,,3,,3.4,
"7/2/2018, 4:00:00 PM",,,1,,3.3,
"7/2/2018, 5:00:00 PM",,,0,,3.4,
"7/2/2018, 6:00:00 PM",,,2,,3.5,
"7/2/2018, 7:00:00 PM",,,4,,3.3,
"7/2/2018, 8:00:00 PM",,,5,,3.9,
"7/2/2018, 9:00:00 PM",,,5,,3.3,
"7/2/2018, 10:00:00 PM",,,4,,3.2,
"7/2/2018, 11:00:00 PM",,,3,,3.2,
"7/3/2018, 12:00:00 AM",,,6,,3,
"7/3/2018, 1:00:00 AM",,,6,,3.1,
"7/3/2018, 2:00:00 AM",,,4,,2.7,
"7/3/2018, 3:00:00 AM",,,4,,2.3,
"7/3/2018, 4:00:00 AM",,,2,,2.2,
"7/3/2018, 5:00:00 AM",,,6,,2.7,
"7/3/2018, 6:00:00 AM",,,6,,3,
"7/3/2018, 7:00:00 AM",,,5,,2.8,
"7/3/2018, 8:00:00 AM",,,5,,2.7,
"7/3/2018, 9:00:00 AM",,,4,,3,
"7/3/2018, 10:00:00 AM",,,4,,3.2,
"7/3/2018, 11:00:00 AM",,,4,,3.3,
"7/3/2018, 12:00:00 PM",,,7,,3.2,
"7/3/2018, 1:00:00 PM",,,4,,3.1,
"7/3/2018, 2:00:00 PM",,,,,3.3,
"7/3/2018, 3:00:00 PM",,,4,,3.2,
"7/3/2018, 4:00:00 PM",,,5,,3.2,
"7/3/2018, 5:00:00 PM",,,3,,3.4,
"7/3/2018, 6:00:00 PM",,,5,,3.4,
"7/3/2018, 7:00:00 PM",,,7,,3.9,
