,Tacoma-S 36th St,Mt Rainier-Jackson Visitors Ctr,Tacoma-L Street,Tacoma-S Adams St,Neah Bay 2-Makah Tribe,
Date/Time,PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],
"7/1/2023, 12:00:00 AM",,,6,,2.4,
"7/1/2023, 1:00:00 AM",,,5,,2.5,
"7/1/2023, 2:00:00 AM",,,3,,2.5,
"7/1/2023, 3:00:00 AM",,,5,,2.6,
"7/1/2023, 4:00:00 AM",,,6,,2.6,
"7/1/2023, 5:00:00 AM",,,7,,2.5,
"7/1/2023, 6:00:00 AM",,,5,,2.5,
"7/1/2023, 7:00:00 AM",,,9,,2.4,
"7/1/2023, 8:00:00 AM",,,6,,2.5,
"7/1/2023, 9:00:00 AM",,,5,,2.6,
"7/1/2023, 10:00:00 AM",,,5,,2.8,
"7/1/2023, 11:00:00 AM",,,5,,2.9,
"7/1/2023, 12:00:00 PM",,,4,,2.9,
"7/1/2023, 1:00:00 PM",,,2,,2.9,
"7/1/2023, 2:00:00 PM",,,2,,2.7,
"7/1/2023, 3:00:00 PM",,,2,,2.7,
"7/1/2023, 4:00:00 PM",,,4,,2.7,
"7/1/2023, 5:00:00 PM",,,5,,2.6,
"7/1/2023, 6:00:00 PM",,,5,,2.4,
"7/1/2023, 7:00:00 PM",,,3,,2.4,
"7/1/2023, 8:00:00 PM",,,3,,2.6,
"7/1/2023, 9:00:00 PM",,,8,,2.8,
"7/1/2023, 10:00:00 PM",,,8,,2.9,
"7/1/2023, 11:00:00 PM",,,7,,3,
"7/2/2023, 12:00:00 AM",,,2,,3,
"7/2/2023, 1:00:00 AM",,,0,,3.1,
"7/2/2023, 2:00:00 AM",,,2,,3.1,
"7/2/2023, 3:00:00 AM",,,5,,3.3,
"7/2/2023, 4:00:00 AM",,,3,,2.8,
"7/2/2023, 5:00:00 AM",,,5,,2.7,
"7/2/2023, 6:00:00 AM",,,4,,2.9,
"7/2/2023, 7:00:00 AM",,,4,,3.2,
"7/2/2023, 8:00:00 AM",,,3,,3.6,
"7/2/2023, 9:00:00 AM",,,1,,3.3,
"7/2/2023, 10:00:00 AM",,,3,,2.7,
"7/2/2023, 11:00:00 AM",,,4,,2.7,
"7/2/2023, 12:00:00 PM",,,4,,2.7,
"7/2/2023, 1:00:00 PM",,,-1,,3.6,
"7/2/2023, 2:00:00 PM",,,-1,,3.9,
"7/2/2023, 3:00:00 PM",,,4,,3.3,
"7/2/2023, 4:00:00 PM",,,3,,3.2,
"7/2/2023, 5:00:00 PM",,,6,,3.2,
"7/2/2023, 6:00:00 PM",,,4,,3.9,
"7/2/2023, 7:00:00 PM",,,4,,3.7,
"7/2/2023, 8:00:00 PM",,,2,,3.5,
"7/2/2023, 9:00:00 PM",,,1,,3.5,
"7/2/2023, 10:00:00 PM",,,7,,3.8,
"7/2/2023, 11:00:00 PM",,,6,,3.8,
"7/3/2023, 12:00:00 AM",,,8,,3.6,
"7/3/2023, 1:00:00 AM",,,10,,3.5,
"7/3/2023, 2:00:00 AM",,,10,,3.4,
"7/3/2023, 3:00:00 AM",,,8,,3,
"7/3/2023, 4:00:00 AM",,,9,,2.3,
"7/3/2023, 5:00:00 AM",,,15,,2.4,
"7/3/2023, 6:00:00 AM",,,6,,3.3,
"7/3/2023, 7:00:00 AM",,,5,,3.1,
"7/3/2023, 8:00:00 AM",,,2,,4.2,
