,Tacoma-S 36th St,Mt Rainier-Jackson Visitors Ctr,Tacoma-L Street,Tacoma-S Adams St,Neah Bay 2-Makah Tribe,
Date/Time,PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],
"7/1/2019, 12:00:00 AM",,,7,,2.2,
"7/1/2019, 1:00:00 AM",,,7,,2.4,
"7/1/2019, 2:00:00 AM",,,8,,2.3,
"7/1/2019, 3:00:00 AM",,,9,,2.3,
"7/1/2019, 4:00:00 AM",,,12,,2.3,
"7/1/2019, 5:00:00 AM",,,10,,2,
"7/1/2019, 6:00:00 AM",,,10,,2.3,
"7/1/2019, 7:00:00 AM",,,9,,2.7,
"7/1/2019, 8:00:00 AM",,,6,,2.4,
"7/1/2019, 9:00:00 AM",,,4,,2,
"7/1/2019, 10:00:00 AM",,,5,,1.8,
"7/1/2019, 11:00:00 AM",,,7,,1.9,
"7/1/2019, 12:00:00 PM",,,5,,1.8,
"7/1/2019, 1:00:00 PM",,,4,,2.1,
"7/1/2019, 2:00:00 PM",,,5,,2.1,
"7/1/2019, 3:00:00 PM",,,3,,2,
"7/1/2019, 4:00:00 PM",,,1,,2.2,
"7/1/2019, 5:00:00 PM",,,1,,2.7,
"7/1/2019, 6:00:00 PM",,,5,,3.2,
"7/1/2019, 7:00:00 PM",,,4,,3,
"7/1/2019, 8:00:00 PM",,,3,,2.9,
"7/1/2019, 9:00:00 PM",,,5,,2.6,
"7/1/2019, 10:00:00 PM",,,4,,2.4,
"7/1/2019, 11:00:00 PM",,,3,,2.1,
"7/2/2019, 12:00:00 AM",,,3,,2.3,
"7/2/2019, 1:00:00 AM",,,1,,2.3,
"7/2/2019, 2:00:00 AM",,,2,,1.9,
"7/2/2019, 3:00:00 AM",,,2,,1.7,
"7/2/2019, 4:00:00 AM",,,1,,1.7,
"7/2/2019, 5:00:00 AM",,,1,,1.6,
"7/2/2019, 6:00:00 AM",,,0,,1.8,
"7/2/2019, 7:00:00 AM",,,1,,2,
"7/2/2019, 8:00:00 AM",,,3,,2.2,
"7/2/2019, 9:00:00 AM",,,4,,2.3,
"7/2/2019, 10:00:00 AM",,,2,,2.2,
"7/2/2019, 11:00:00 AM",,,,,2.2,
"7/2/2019, 12:00:00 PM",,,1,,2.4,
"7/2/2019, 1:00:00 PM",,,0,,3.2,
"7/2/2019, 2:00:00 PM",,,2,,3.2,
"7/2/2019, 3:00:00 PM",,,3,,3.1,
"7/2/2019, 4:00:00 PM",,,3,,3.1,
"7/2/2019, 5:00:00 PM",,,2,,3.2,
"7/2/2019, 6:00:00 PM",,,1,,3.8,
"7/2/2019, 7:00:00 PM",,,1,,3.6,
"7/2/2019, 8:00:00 PM",,,0,,3.5,
"7/2/2019, 9:00:00 PM",,,4,,3.7,
"7/2/2019, 10:00:00 PM",,,3,,4.3,
"7/2/2019, 11:00:00 PM",,,0,,4.2,
"7/3/2019, 12:00:00 AM",,,0,,3.9,
"7/3/2019, 1:00:00 AM",,,1,,3.6,
"7/3/2019, 2:00:00 AM",,,1,,4.1,
"7/3/2019, 3:00:00 AM",,,2,,4.7,
"7/3/2019, 4:00:00 AM",,,3,,5,
"7/3/2019, 5:00:00 AM",,,1,,3.6,
"7/3/2019, 6:00:00 AM",,,0,,2.7,
