,Tacoma-S 36th St,Mt Rainier-Jackson Visitors Ctr,Tacoma-L Street,Tacoma-S Adams St,Neah Bay 2-Makah Tribe,
Date/Time,PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],
"7/1/2016, 12:00:00 AM",,,,,2.7,
"7/1/2016, 1:00:00 AM",,,,,2.6,
"7/1/2016, 2:00:00 AM",,,,,2.6,
"7/1/2016, 3:00:00 AM",,,,,2.6,
"7/1/2016, 4:00:00 AM",,,,,2.6,
"7/1/2016, 5:00:00 AM",,,,,2.9,
"7/1/2016, 6:00:00 AM",,,,,2.9,
"7/1/2016, 7:00:00 AM",,,,,2.8,
"7/1/2016, 8:00:00 AM",,,,,2.8,
"7/1/2016, 9:00:00 AM",,,,,2.9,
"7/1/2016, 10:00:00 AM",,,,,3.1,
"7/1/2016, 11:00:00 AM",,,,,3.3,
"7/1/2016, 12:00:00 PM",,,,,3,
"7/1/2016, 1:00:00 PM",,,,,3.7,
"7/1/2016, 2:00:00 PM",,,,,3.5,
"7/1/2016, 3:00:00 PM",,,,,2.8,
"7/1/2016, 4:00:00 PM",,,,,2.5,
"7/1/2016, 5:00:00 PM",,,,,2.4,
"7/1/2016, 6:00:00 PM",,,,,2.7,
"7/1/2016, 7:00:00 PM",,,,,2.8,
"7/1/2016, 8:00:00 PM",,,,,2.5,
"7/1/2016, 9:00:00 PM",,,,,2.9,
"7/1/2016, 10:00:00 PM",,,,,2.7,
"7/1/2016, 11:00:00 PM",,,,,2.5,
"7/2/2016, 12:00:00 AM",,,,,2.8,
"7/2/2016, 1:00:00 AM",,,,,3,
"7/2/2016, 2:00:00 AM",,,,,3.2,
"7/2/2016, 3:00:00 AM",,,,,3.5,
"7/2/2016, 4:00:00 AM",,,,,2.8,
"7/2/2016, 5:00:00 AM",,,,,3.7,
"7/2/2016, 6:00:00 AM",,,,,3.8,
"7/2/2016, 7:00:00 AM",,,,,3.4,
"7/2/2016, 8:00:00 AM",,,,,3.2,
"7/2/2016, 9:00:00 AM",,,,,3.3,
"7/2/2016, 10:00:00 AM",,,,,3.5,
"7/2/2016, 11:00:00 AM",,,,,3.5,
"7/2/2016, 12:00:00 PM",,,,,3.5,
"7/2/2016, 1:00:00 PM",,,,,3.2,
"7/2/2016, 2:00:00 PM",,,,,3.3,
"7/2/2016, 3:00:00 PM",,,,,3.2,
"7/2/2016, 4:00:00 PM",,,,,2.9,
"7/2/2016, 5:00:00 PM",,,,,2.8,
"7/2/2016, 6:00:00 PM",,,,,3.1,
"7/2/2016, 7:00:00 PM",,,,,3.8,
"7/2/2016, 8:00:00 PM",,,,,3.6,
"7/2/2016, 9:00:00 PM",,,,,3.2,
"7/2/2016, 10:00:00 PM",,,,,2.8,
"7/2/2016, 11:00:00 PM",,,,,2.5,
"7/3/2016, 12:00:00 AM",,,,,2.3,
"7/3/2016, 1:00:00 AM",,,,,2.6,
"7/3/2016, 2:00:00 AM",,,,,3.1,
"7/3/2016, 3:00:00 AM",,,,,3.2,
"7/3/2016, 4:00:00 AM",,,,,3.2,
"7/3/2016, 5:00:00 AM",,,,,3.3,
"7/3/2016, 6:00:00 AM",,,,,3.4,
"7/3/2016, 7:00:00 AM",,,,,3.5,
"7/3/2016, 8:00:00 AM",,,,,3.6,
"7/3/2016, 9:00:00 AM",,,,,3.7,
"7/3/2016, 10:00:00 AM",,,,,3.6,
"7/3/2016, 11:00:00 AM",,,,,3.6,
"7/3/2016, 12:00:00 PM",,,,,3.3,
"7/3/2016, 1:00:00 PM",,,,,3.4,
"7/3/2016, 2:00:00 PM",,,,,3.5,
"7/3/2016, 3:00:00 PM",,,,,3.2,
"7/3/2016, 4:00:00 PM",,,,,3.3,
"7/3/2016, 5:00:00 PM",,,,,3.4,
"7/3/2016, 6:00:00 PM",,,,,3.2,
"7/3/2016, 7:00:00 PM",,,,,3.4,
"7/3/2016, 8:00:00 PM",,,,,3.2,
"7/3/2016, 9:00:00 PM",,,,,3.5,
"7/3/2016, 10:00:00 PM",,,,,2.8,
"7/3/2016, 11:00:00 PM",,,,,2.8,
"7/4/2016, 12:00:00 AM",,,,,2.8,
"7/4/2016, 1:00:00 AM",,,,,3.1,
"7/4/2016, 2:00:00 AM",,,,,3.3,
"7/4/2016, 3:00:00 AM",,,,,3.5,
"7/4/2016, 4:00:00 AM",,,,,3.4,
"7/4/2016, 5:00:00 AM",,,,,3.3,
"7/4/2016, 6:00:00 AM",,,,,3.3,
"7/4/2016, 7:00:00 AM",,,,,3.2,
"7/4/2016, 8:00:00 AM",,,,,3,
"7/4/2016, 9:00:00 AM",,,,,2.7,
"7/4/2016, 10:00:00 AM",,,,,3.1,
"7/4/2016, 11:00:00 AM",,,,,3.2,
"7/4/2016, 12:00:00 PM",,,,,3.3,
"7/4/2016, 1:00:00 PM",,,,,3.2,
"7/4/2016, 2:00:00 PM",,,,,3.2,
"7/4/2016, 3:00:00 PM",,,,,3.2,
"7/4/2016, 4:00:00 PM",,,,,3.3,
"7/4/2016, 5:00:00 PM",,,,,3.1,
"7/4/2016, 6:00:00 PM",,,,,3.8,
"7/4/2016, 7:00:00 PM",,,,,6.9,
"7/4/2016, 8:00:00 PM",,,,,8.1,
"7/4/2016, 9:00:00 PM",,,,,8.8,
"7/4/2016, 10:00:00 PM",,,,,4.8,
"7/4/2016, 11:00:00 PM",,,,,3.2,
"7/5/2016, 12:00:00 AM",,,,,2.7,
"7/5/2016, 1:00:00 AM",,,,,2.3,
"7/5/2016, 2:00:00 AM",,,,,2.2,
"7/5/2016, 3:00:00 AM",,,,,2.2,
"7/5/2016, 4:00:00 AM",,,,,2.3,
"7/5/2016, 5:00:00 AM",,,,,2.4,
"7/5/2016, 6:00:00 AM",,,,,2.4,
"7/5/2016, 7:00:00 AM",,,,,2.4,
"7/5/2016, 8:00:00 AM",,,,,8.1,
"7/5/2016, 9:00:00 AM",,,,,3.7,
