,Tacoma-S 36th St,Mt Rainier-Jackson Visitors Ctr,Tacoma-L Street,Tacoma-S Adams St,Neah Bay 2-Makah Tribe,
Date/Time,PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],
"7/1/2017, 12:00:00 AM",,,,,2.8,
"7/1/2017, 1:00:00 AM",,,,,2.9,
"7/1/2017, 2:00:00 AM",,,,,2.2,
"7/1/2017, 3:00:00 AM",,,,,1.9,
"7/1/2017, 4:00:00 AM",,,,,2.3,
"7/1/2017, 5:00:00 AM",,,,,2.2,
"7/1/2017, 6:00:00 AM",,,,,2.4,
"7/1/2017, 7:00:00 AM",,,,,2.3,
"7/1/2017, 8:00:00 AM",,,,,2.5,
"7/1/2017, 9:00:00 AM",,,,,2.6,
"7/1/2017, 10:00:00 AM",,,,,2.9,
"7/1/2017, 11:00:00 AM",,,,,2.7,
"7/1/2017, 12:00:00 PM",,,,,2.6,
"7/1/2017, 1:00:00 PM",,,,,2.8,
"7/1/2017, 2:00:00 PM",,,,,2.6,
"7/1/2017, 3:00:00 PM",,,,,2.7,
"7/1/2017, 4:00:00 PM",,,,,2.7,
"7/1/2017, 5:00:00 PM",,,,,2.7,
"7/1/2017, 6:00:00 PM",,,,,3.2,
"7/1/2017, 7:00:00 PM",,,,,3.2,
"7/1/2017, 8:00:00 PM",,,,,3.2,
"7/1/2017, 9:00:00 PM",,,,,3,
"7/1/2017, 10:00:00 PM",,,,,3.1,
"7/1/2017, 11:00:00 PM",,,,,2.5,
"7/2/2017, 12:00:00 AM",,,,,2.4,
"7/2/2017, 1:00:00 AM",,,,,2,
"7/2/2017, 2:00:00 AM",,,,,2.1,
"7/2/2017, 3:00:00 AM",,,,,2,
"7/2/2017, 4:00:00 AM",,,,,2.2,
"7/2/2017, 5:00:00 AM",,,,,2.6,
"7/2/2017, 6:00:00 AM",,,,,2.7,
"7/2/2017, 7:00:00 AM",,,,,2.6,
"7/2/2017, 8:00:00 AM",,,,,2.5,
